Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Post_Type
UW–Madison Arboretum,uwarboretum,7014,2022-10-28 13:33:07 EDT,10/28/22,13:33:07,Photo,449,447,2,0,FALSE,https://www.instagram.com/p/CkRBLmRBK0M/,https://www.instagram.com/p/CkRBLmRBK0M/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/313042163_427115652731772_1592556272791266807_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=3WQNO-P5yoQAX_xmRe-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC0qEarNlQvPRBXH3UqtWV3qNJJDdMy0C7kkkxB2VcGkw&oe=6365C1A4,,"After a two-year closure, the foot trail that winds through central Curtis Prairie has reopened. There's a new boardwalk and bridge, and the trail was recently graveled to even out ruts formed over years of heavy traffic. We're excited for visitors to explore this special path.",,,,4.63,Photo
UW–Madison Arboretum,uwarboretum,7011,2022-10-25 14:18:43 EDT,10/25/22,14:18:43,Photo,239,232,7,0,FALSE,https://www.instagram.com/p/CkJYBAUhWJk/,https://www.instagram.com/p/CkJYBAUhWJk/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/312805726_789348558801455_1393511153765997567_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=j1Ve3ahsRY4AX_lGZuI&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBCsN7Pee-loBBuxP5GZi0AuT3f7fjzSB_8FsxzhgKryQ&oe=63664C1C,,"The Arboretum recently received a generous gift from a donor to purchase 240 pounds of native plant seed for use in restoration efforts. And the land care crew is beaming with gratitude! Seeds include hyssop, bottlebrush grass, butterfly-weed, and purple Joe-Pye-weed. Land care staff has also collected about 240 pounds of seed from restoration areas. Seed will be combined into mixes and spread before snow falls. Restoring an area like Teal Pond Wetlands or the Lost City can take years of sustained effort, and donations like this are essential for success and priceless for a healthy ecosystem and visitor enjoyment. 

#ecosystemrestoration #nativeplants #seedcollecting",,,,2.41,Photo
UW–Madison Arboretum,uwarboretum,7000,2022-10-22 09:30:06 EDT,10/22/22,9:30:06,Photo,26,26,0,0,FALSE,https://www.instagram.com/p/CkBImcsDGFL/,https://www.instagram.com/p/CkBImcsDGFL/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/312148120_209594578164541_2719611273077080149_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=96ijslpQhloAX9LSMvC&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBpz5FJteunw_r4xlIFtKhzi88ycc_yoZ9zZMklpahywA&oe=63655C99,,"Join us for our final fall lecture on Tuesday, October 25. Jessika Greendeer will discuss Dream of Wild Health, an intertribal, independent nonprofit in the Twin Cities. Come learn how their 30-acre farm in Hugo, Minnesota, reconnects the urban Native American community with traditional Native plants and their culinary, medicinal, and spiritual use. Note: remote speaker. Event link in bio.","UW-Madison UW- Arboretum Fall Lectures 2022 Dream of Wild Health Jessika Greendeer, farm director, Dream of Wild Health Tuesday, October 25, 7-8:30 p.m. Arboretum Visitor Center Free, no registration required",,,-3.88,Photo
UW–Madison Arboretum,uwarboretum,6995,2022-10-21 10:47:05 EDT,10/21/22,10:47:05,Photo,50,50,0,0,FALSE,https://www.instagram.com/p/Cj-sncTtS1p/,https://www.instagram.com/p/Cj-sncTtS1p/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/312144794_893446224982997_6250605598978070655_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=eKQc9slwAV4AX_hspjH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCcnKJCksMzVVnH-6TVdp2FsqHiIpjSd3kxqzGbTo6ViQ&oe=6366973E,,"During Fill the Hill, you can support the Arboretum by giving to the Friends of the Arboretum fund (link in bio). Gifts strengthen our work, including outdoor education for youth and families, teaching about native plants, and engaging the community in urban conservation issues and citizen science. We’re so grateful to our generous supporters, such as Leslie Ladd and Bill Hantke:

“As twenty-year residents of the unique Arboretum neighborhood, we have never taken one moment for granted. We share the same sense of wonder and beauty as all the folks visiting every day. We donate generously to the Arboretum because to us it means ‘home.’” 

#uwflamingos","As twenty-year residents of the unique Arboretum neighborhood, we have never taken one moment for granted. We share the same sense of wonder and beauty as all the folks visiting every day. We donate generously to the Arboretum because to us it means ""home."" Leslie Ladd and Bill Hantke FILL THE HILL",,,-2.04,Photo
UW–Madison Arboretum,uwarboretum,6992,2022-10-20 18:30:05 EDT,10/20/22,18:30:05,Photo,37,37,0,0,FALSE,https://www.instagram.com/p/Cj88zmsBoKx/,https://www.instagram.com/p/Cj88zmsBoKx/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/312072350_529004349055560_3539969972659182004_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Oe6lq7R9P2EAX-d_1ts&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDZd2ZjISjRwDUKCXYzVF0fAbVe5QS0XK8fXnvoU_Hrsw&oe=63654159,,"Fill the Hill is underway! Join in the flamingo fun (link in bio) and make a gift to the Friends of the Arboretum fund. Gifts help sustain our work, from environmental education to ecological restoration to citizen science and more. We’re so grateful to our generous supporters. What does the Arboretum mean to you? Corinne Burgermeister and Pete Schwieger say:

“We’ve grown closer as a family through our Arboretum adventures, learned about nature, and improved our health. We want everyone in Madison – present and future – to enjoy these benefits. We donate and volunteer to support the Arboretum’s programs and growth.” 
 
#uwflamingos","We've grown closer as a family through our Arboretum adventures, learned about nature, and improved our health. We want everyone in Madison present and future to enjoy these benefits. We donate and volunteer to support the Arboretum' programs and growth. Corinne Burgermeister and Pete Schwieger FILL THE HILL",,,-2.76,Photo
UW–Madison Arboretum,uwarboretum,6992,2022-10-20 11:37:49 EDT,10/20/22,11:37:49,Photo,66,65,1,0,FALSE,https://www.instagram.com/p/Cj8NoIOjod3/,https://www.instagram.com/p/Cj8NoIOjod3/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311997407_3145776005641451_6272709349327907058_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=z-cAKdTPrJ0AX8glwKy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDHdfUwdXJdQTEt0-jJeKutFUHbYbIPTlnctRnCUOq07w&oe=63654FCF,,"Fill the Hill starts at 5 p.m. CDT, and the flamingos are coming back to Bascom Hill! (This one stopped in at the Arb, we’ll give it directions to campus.) Be part of the feathered fun October 20–21. Fly on over to uwflamingos.com (link in bio) and make a gift to the Friends of the Arboretum fund, which helps the Arboretum meet its most pressing needs. Will you join our flock? #uwflamingos",FILL THE HILL,,,-1.59,Photo
UW–Madison Arboretum,uwarboretum,6990,2022-10-19 14:32:33 EDT,10/19/22,14:32:33,Photo,20,20,0,0,FALSE,https://www.instagram.com/p/Cj580_zBN6y/,https://www.instagram.com/p/Cj580_zBN6y/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311837752_342488068087900_5058158160193553343_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=GEfREzsslSkAX8yU47W&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCo00pEBdhQ3lr0q_u8WZvGeGi-OZ5mRt2rH4SG48A6BQ&oe=63653297,,"The flamingos are back! And this year, it's their tenth annual homecoming. Will you help us Fill the Hill October 20–21? The growing flock represents the support of the extended Badger community, whose philanthropy plays a vital role in keeping the UW and Arboretum strong. Click the link in our bio to join in the feathered fun.",,,,-5.4,Photo
UW–Madison Arboretum,uwarboretum,6995,2022-10-18 14:28:36 EDT,10/18/22,14:28:36,Photo,51,51,0,0,FALSE,https://www.instagram.com/p/Cj3XllLPW_j/,https://www.instagram.com/p/Cj3XllLPW_j/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/311884516_476764314225737_35829021487830292_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=QWRGgBPoIQ4AX-B-qb9&_nc_oc=AQnRUatlqBYONVIl0eLJ2TB2l3X_ccNn593IUGmNDgPJqwHYifcUZaO9lXQXVBOqVwo&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfARb-kQ4ik-PXmKK-riDmd6U1um7ybcybCr3yadOv2mPA&oe=63654E44,,"In our second fall lecture on Thursday, October 20, at 7 p.m., Robert Pierce will discuss ""Restoring Healthy Food Connections on Madison’s South Side."" Pierce is the owner and farmer at Neighborhood Food Solutions (NFS), which engages community about the economic, social, health, and environmental impacts of food, and promotes participation in food- related economic opportunities. His talk will explore how these programs restore Madison communities. Event link in bio. Learn more about NFS at https://www.nfsinc.org/.","UW-Madison UW- Arboretum Fall Lectures 2022 Restoring Healthy Food Connections on Madison's South Side Robert Pierce, owner and farmer, Neighborhood Food Solutions Thursday, October 20, 7-8:30 p.m. Arboretum Visitor Center Free, no registration required",,,-2.16,Photo
UW–Madison Arboretum,uwarboretum,6972,2022-10-07 16:50:30 EDT,10/7/22,16:50:30,Photo,70,70,0,0,FALSE,https://www.instagram.com/p/CjbTE2CBKSa/,https://www.instagram.com/p/CjbTE2CBKSa/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310526712_1842727842739841_8102884751746636520_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=6mpM48GsMpwAX87nTwk&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB6-HxjCEYoZ9PJHNFxzW8eso7_zSboDA13mZpA4VQ-aQ&oe=63660B62,,"Photographers! Fall color is near and it’s a popular time for family and special occasion photo sessions. We appreciate being a site for these meaningful photos, and we want to share some guidelines to help support and protect all that lives here.

If you’re an amateur or professional photographer doing posed and formal photography, a photo permit is required. We ask photographers and their clients to follow visitor etiquette – leave pets at home, stay on trails and lawns to protect plants and wildlife habitat, and if you’re using props, keep them ecologically friendly (no confetti, glitter, etc.). Drones for recreational or hobby use are not allowed. Thanks for your cooperation! Click the link in our bio to learn more about photography permits.",,,,-1.59,Photo
UW–Madison Arboretum,uwarboretum,6972,2022-10-06 13:02:59 EDT,10/6/22,13:02:59,Photo,111,111,0,0,FALSE,https://www.instagram.com/p/CjYUPpShotM/,https://www.instagram.com/p/CjYUPpShotM/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310818997_634038795020240_223400730862204546_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=j2pDx5hhaQIAX_6f7dW&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBnoBqZxGx_uVmQ_vSgGiuwDKTaaK1DA7vZO5ltS2NJog&oe=636675C7,,"As fall brings shorter days, go out after dark and enjoy the night sky! Join Arboretum naturalists this Saturday, October 8 for our monthly full moon night walk. Stargaze through pine trees and practice sensing with your ears and your feet. Come prepared for cool nighttime temperatures. Clink events calendar link in bio for more information.

Photo: rkarkowski/Pixabay",,,,1,Photo
